"","look","sum","output"
"985","k",52,"s"
"986","kaine",67,"horman"
"987","kansas",752,"city"
"988","kanye",75,"west"
"989","kaplan",65,"said"
"990","kasich",111,"s"
"991","katy",84,"perry"
"992","keep",17633,"faith"
"993","kelly",160,"said"
"994","kent",74,"state"
"995","kentucky",179,"derby"
"996","key",63,"success"
"997","kick",76,"failed"
"998","kid",89,"s"
"999","kids",98,"can"
"1000","kim",70,"kardashian"
"1001","kind",122,"like"
"1002","kinda",60,"like"
"1003","king",134,"s"
"1004","knee",107,"injury"
"1005","knew",126,"going"
"1006","know",331,"can"
"1007","kobe",77,"bryant"
"1008","korea",78,"s"
"1009","l",54,"s"
"1010","la",136,"russa"
"1011","labor",141,"department"
"1012","laden",73,"s"
"1013","lady",150,"gaga"
"1014","laguna",67,"beach"
"1015","lake",216,"oswego"
"1016","lamarcus",123,"aldridge"
"1017","lananna",67,"said"
"1018","large",107,"part"
"1019","largest",78,"city"
"1020","las",493,"vegas"
"1021","last",5351,"year"
"1022","late",330,"s"
"1023","later",231,"year"
"1024","latin",91,"america"
"1025","law",612,"enforcement"
"1026","lawsuit",134,"filed"
"1027","leaders",64,"said"
"1028","league",245,"s"
"1029","learn",65,"new"
"1030","learned",65,"lot"
"1031","least",519,"one"
"1032","leave",77,"alone"
"1033","lebron",165,"james"
"1034","led",71,"team"
"1035","lee",90,"s"
"1036","left",182,"behind"
"1037","legal",77,"action"
"1038","legislative",104,"session"
"1039","lemon",119,"juice"
"1040","less",147,"likely"
"1041","lessons",70,"learned"
"1042","let",896,"know"
"1043","lets",208,"go"
"1044","letter",62,"dated"
"1045","letting",65,"go"
"1046","level",88,"since"
"1047","lewis",72,"said"
"1048","liberties",70,"union"
"1049","license",64,"plate"
"1050","life",148,"like"
"1051","light",97,"rail"
"1052","like",17717,"people"
"1053","likely",146,"will"
"1054","lil",72,"wayne"
"1055","limbaugh",60,"s"
"1056","lime",65,"juice"
"1057","line",64,"will"
"1058","lion",64,"king"
"1059","listen",66,"music"
"1060","listening",84,"music"
"1061","little",17614,"fingers"
"1062","live",17620,"die"
"1063","living",265,"room"
"1064","local",237,"governments"
"1065","locker",344,"room"
"1066","lol",198,"rt"
"1067","london",78,"s"
"1068","long",17609,"web"
"1069","longterm",85,"care"
"1070","longtime",81,"friend"
"1071","look",915,"like"
"1072","looked",429,"like"
